titles,preds
Efficient retrieval of the top-k most relevant spatial web objects,16
Detailed balance limit of the efficiency of tandem solar cells,9
Community-based greedy algorithm for mining top-k influential nodes in mobile social networks,12
Improving data quality: Consistency and accuracy,29
Personalized ranking metric embedding for next new poi recommendation,9
Mining significant semantic locations from GPS data,29
Collective spatial keyword querying,25
A multiple hypothesis approach to figure tracking,4
Pluralistic image completion,16
Exploiting spatial-temporal relationships for 3d pose estimation via graph convolutional networks,5
Fast training and selection of haar features using statistics in boosting-based face detection,11
Large-margin multi-modal deep learning for RGB-D object recognition,27
Reconstruction of 3D figure motion from 2D correspondences,15
T2net: Synthetic-to-realistic translation for solving single-image depth estimation tasks,28
Wireless multi-user multi-projector presentation system,25
Method for efficiently tracking object models in video sequences via dynamic ordering of features,22
Dynamic shadow elimination for multi-projector displays,11
Mmss: Multi-modal sharable and specific feature learning for rgb-d object recognition,10
Fast polygonal integration and its application in extending haar-like features to improve object detection,11
Image pre-conditioning for out-of-focus projector blur,22
Online learning asymmetric boosted classifiers for object detection,16
Shadow elimination and occluder light suppression for multi-projector displays,20
Automated B-spline curve representation incorporating MDL and error-minimizing control point insertion strategies,9
Modality and component aware feature fusion for rgb-d scene classification,21
Symmetry detection through local skewed symmetries,2
Face and human gait recognition using image-to-class distance,21
Learning progressive joint propagation for human motion prediction,17
Multi-modal unsupervised feature learning for RGB-D scene labeling,14
Calibrating scalable multi-projector displays using camera homography trees,5
Detection with multi-exit asymmetric boosting,15
Method for object registration via selection of models with dynamically ordered features,22
A statistical framework for long-range feature matching in uncalibrated image mosaicing,4
Method for efficiently registering object models in images via dynamic ordering of features,22
Near duplicate image identification with patially aligned pyramid matching,7
Multiple mode probability density estimation with application to sequential markovian decision processes,16
Stereo coupled active contours,22
Near duplicate identification with spatially aligned pyramid matching,7
Multiple mode probability density estimation with application to multiple hypothesis tracking,16
Sample refinement method of multiple mode probability density estimation,2
Geometric saliency of curve correspondences and grouping of symmetric contours,11
Projected light displays using visual feedback,9
Unsupervised joint feature learning and encoding for RGB-D scene labeling,9
A dynamic bayesian network approach to tracking using learned switching dynamic models,4
The spatially-correlative loss for various image translation tasks,24
A theory for photometric self-calibration of multiple overlapping projectors and cameras,4
Conditional adversarial synthesis of 3D facial action units,11
AgileGAN: stylizing portraits by inversion-consistent transfer learning,28
A unified feature selection framework for graph embedding on high dimensional data,4
Detection caching for faster object detection,22
"A color-guided, region-adaptive and depth-selective unified framework for Kinect depth recovery",4
Shadow elimination and blinding light suppression for interactive projected displays,20
Minimizing image blur in an image projected onto a display surface by a projector,5
Towards a switchable AR/VR near-eye display with accommodation-vergence and eyeglass prescription support,7
Recovering surface details under general unknown illumination using shading and coarse multi-view stereo,29
Kinect shadow detection and classification,2
Bridging Global Context Interactions for High-Fidelity Image Completion,17
Visual tracking with generative template model based on riemannian manifold of covariances,16
"Kinect depth recovery using a color-guided, region-adaptive, and depth-selective framework",25
Analogous view transfer for gaze correction in video sequences,11
